airfoil,blades,tip_speed_ratio,aoa_deg,hub_radius_ratio,chord_scale,twist_scale,cp,ct,power_w,thrust_n,torque_nm,root_moment_nm,solidity_mean,obj_neg_cp,obj_root_moment,obj_solidity
2412,2,6.264121894246488,6.057227804111421,0.22472573609560528,0.9743286624516715,1.0615227170432848,0.36646880845053575,0.6858421532915813,822508.6857090655,171035.05888865574,583576.4725562847,3208632.247075522,0.06721515447874474,-0.36646880845053575,3208632.247075522,0.06721515447874474
2412,2,5.315167512714746,7.972976428280477,0.21156895072262488,0.9064451226617606,1.01022985052274,0.36084786165386973,0.6466251254125861,809892.9392783829,161255.1311887753,677217.4472318969,3098878.2060542163,0.06873789558553607,-0.36084786165386973,3098878.2060542163,0.06873789558553607
2412,2,5.316641122659977,7.963544416056287,0.22352179765181526,0.9230040181529477,0.9950279504721349,0.35882315965804495,0.6452491118649303,805348.664461163,160911.98144648343,673230.9582359756,3028489.886078259,0.06735020544032552,-0.35882315965804495,3028489.886078259,0.06735020544032552
23012,4,5.681235477481886,6.566965520498687,0.1739423389208506,0.9040013222236417,1.05027076971334,0.3476045813449874,0.7964211861214265,780169.5008024292,198611.2166111492,610328.5134562366,3873905.2197423815,0.14752811531966575,-0.3476045813449874,3873905.2197423815,0.14752811531966575
4412,3,5.7072575515013355,4.529858451342744,0.2163141770706974,0.9309874299831401,0.968879237635364,0.3441899934556842,0.7859983420473933,772505.7429810102,196011.97166618056,601577.6976439777,3637115.3298865864,0.10226479016327898,-0.3441899934556842,3637115.3298865864,0.10226479016327898
4412,2,5.8856222111087835,6.606252576651595,0.17559953061941921,0.9034085713451016,1.0462036215769022,0.31824816381985516,0.7201812480015215,714281.469300337,179598.52944483314,539379.5582070571,3624686.2083897805,0.07351801769944268,-0.31824816381985516,3624686.2083897805,0.07351801769944268
23012,2,7.437121312772076,6.453859515657169,0.20429191034868344,0.9555292312017567,1.0386621704861556,0.3157023790381327,0.7663167420045127,708567.6676161882,191103.78163119752,423442.0149152995,3656152.499377342,0.06962720208392034,-0.3157023790381327,3656152.499377342,0.06962720208392034
23012,4,6.721132165040462,5.023920878429762,0.21915951495446215,0.9908619385187604,1.074111416539847,0.3089785974823814,0.7759967433254172,693476.7005191554,193517.77672907436,458571.35275593394,3464060.0781016755,0.13569322611423473,-0.3089785974823814,3464060.0781016755,0.13569322611423473
4412,2,6.264121894246488,6.057227804111421,0.22472573609560528,0.9367477577932861,1.0615227170432848,0.3030982370994297,0.7394844468576166,680278.7219230313,184412.35393381584,482663.17887293856,3441767.1830160813,0.06721515447874474,-0.3030982370994297,3441767.1830160813,0.06721515447874474
4412,3,6.0638253432191425,4.169498090123667,0.20930456503091263,0.9251046354868352,0.98987630161942,0.29769969099052446,0.7359011632369133,668162.1352930542,183518.75600878254,489725.43272739707,3320041.102975306,0.10351627550786498,-0.29769969099052446,3320041.102975306,0.10351627550786498
23012,2,7.625768806270182,6.453582467649686,0.18854484263343518,1.0279241302710602,0.9297731201306619,0.29106804021896493,0.7559226332203669,653277.9480596045,188511.70268204072,380742.9284433916,3606298.7192572285,0.07168059019789524,-0.29106804021896493,3606298.7192572285,0.07168059019789524
4412,4,5.489133692632584,5.099495113613096,0.1706626042775905,1.1254235321257484,1.0462671884502472,0.2650704050081903,0.7572095759659099,594928.423418835,188832.6399811173,481701.93592749105,3629732.4716462865,0.148517444962915,-0.2650704050081903,3629732.4716462865,0.148517444962915
4412,2,7.197448158843091,4.781789314558203,0.22060258104604358,0.9916188909769031,1.09333584834439,0.24273451580351912,0.7272640839386664,544797.3823854831,181364.84441365546,336413.9131055911,3362716.9128820947,0.0676811565818047,-0.24273451580351912,3362716.9128820947,0.0676811565818047
2412,4,5.342765594702442,7.625050474576005,0.21067876827768228,0.9169129042766545,1.0211317529233388,0.2393589068374215,0.7265974107874372,537221.109507276,181198.58971330972,446893.90415243746,3236769.264055179,0.13768960481434955,-0.2393589068374215,3236769.264055179,0.13768960481434955
2412,2,7.40614800742647,6.59799964439184,0.1907332656319487,1.0163776480768765,0.9374204677930843,0.23547147150018471,0.7509645787477294,528496.0850132987,187275.26491770838,317151.572800419,3617434.734798669,0.07138391481017001,-0.23547147150018471,3617434.734798669,0.07138391481017001
23012,4,7.583262922379912,4.651358963690356,0.21041228453344743,0.9743370441053417,1.104253953262333,0.22494959255779765,0.7451355683172339,504880.60500373377,185821.62848335155,295903.46833344,3292993.024754566,0.13775381163067485,-0.22494959255779765,3292993.024754566,0.13775381163067485
23012,3,6.96918284241381,6.788858913084727,0.20589666118785133,0.9447050828774698,1.0323922053662469,0.20947226463895816,0.7325433807703738,470143.0329341284,182681.39347697602,299823.471139499,3337467.299143119,0.10414205088449333,-0.20947226463895816,3337467.299143119,0.10414205088449333
2412,4,6.6591155599587974,5.24158850129434,0.2300415054318653,1.0026557039598492,1.0609238541960133,0.20399443076909018,0.706625932707901,457848.4915354002,176218.11000229558,305578.44600828184,2998800.273068262,0.13325726305379515,-0.20399443076909018,2998800.273068262,0.13325726305379515
23012,4,7.7512250684693385,4.704624979715502,0.21053473441060105,0.9797793084814034,1.1038882975466926,0.19246128254833347,0.7170323636527172,431963.3019465492,178813.26184725759,247681.73812289204,3110362.2784254705,0.13767411833018556,-0.19246128254833347,3110362.2784254705,0.13767411833018556
23012,4,7.7754222993295965,4.74605801138889,0.2102606505618126,0.9810963242969974,1.0977079235211997,0.1862403997765965,0.7196824563534538,418001.0492403351,179474.14097076372,238930.1017422984,3131334.5790200112,0.13765061613716667,-0.1862403997765965,3131334.5790200112,0.13765061613716667
2412,4,7.191404338547121,5.015431306195179,0.21063308398462458,0.9728055392100514,1.0949817774488961,0.1694591487922047,0.7119429229251383,380336.9305665378,177544.05902795857,235056.50336092905,3162369.1342485202,0.13687180926698467,-0.1694591487922047,3162369.1342485202,0.13687180926698467
4412,4,5.418151932752492,7.491942417445214,0.2086317963833229,0.9650100429883379,1.032588760536431,0.1497069400761068,0.8065980532169518,336004.7449717529,201149.11990949776,275620.6250085785,3932719.8285296774,0.13818518937001942,-0.1497069400761068,3932719.8285296774,0.13818518937001942
23012,4,7.055629175793312,6.47843346609569,0.19769801760936412,0.9443340317673586,1.0411843101591924,0.1449135678444737,0.7202920225767104,325246.4206520802,179626.15436683578,204877.49728996307,3309644.6851805253,0.13927436369037988,-0.1449135678444737,3309644.6851805253,0.13927436369037988
4412,4,6.426727521481674,4.565520428468271,0.21218578522865686,0.9298714505850286,1.0056513387908266,0.13990811721859334,0.7282209494755861,314012.1040588573,181603.4671822767,217157.0751533812,3344641.59288191,0.13636855982405605,-0.13990811721859334,3344641.59288191,0.13636855982405605
